True_Label,Predicted_Probability
0,0.1155705
0,0.12791747
1,0.9267391
0,0.1186033
1,0.89257413
0,0.13615727
1,0.8324385
0,0.23239262
0,0.76597023
0,0.16497411
0,0.10816305
1,0.77001
1,0.8592821
0,0.45650023
1,0.91896135
1,0.9093753
1,0.78418154
0,0.10816305
0,0.1621992
0,0.21863897
0,0.32838112
1,0.83061874
1,0.9114666
0,0.27958804
0,0.7862548
0,0.27646375
1,0.9185938
0,0.0964855
1,0.85376966
1,0.9226035
1,0.43366602
1,0.81502783
1,0.8375099
1,0.47379678
0,0.19008201
1,0.9205181
1,0.8827433
0,0.21283671
1,0.14227575
0,0.27278155
1,0.8840014
0,0.07997749
1,0.9060622
1,0.88331664
0,0.16974187
0,0.08595631
0,0.14607696
1,0.9275657
1,0.93306357
0,0.21666574
0,0.5027473
0,0.2492584
0,0.17731607
0,0.13293155
0,0.17607135
0,0.12459005
0,0.07821461
1,0.8984694
0,0.09702337
1,0.73076856
0,0.09628055
0,0.086633034
0,0.17032604
1,0.80301595
1,0.93926275
1,0.4390279
1,0.9003331
1,0.9135295
0,0.2861902
1,0.85303396
1,0.91743124
1,0.42395937
0,0.32158896
0,0.15163578
1,0.36925736
0,0.7167613
1,0.7677748
1,0.8956942
0,0.18054324
0,0.15019348
0,0.17019905
1,0.654745
0,0.21871346
0,0.2861902
1,0.86386555
0,0.51368403
0,0.12782022
0,0.07576609
0,0.09859628
0,0.1333918
0,0.11980894
1,0.9148818
1,0.8804507
1,0.93581176
1,0.9142414
0,0.16155422
